ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
417385121,Photo,Inca Tern,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,Adult – 1,,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,6658,,4.98,342,,2868,4302
346635901,Photo,Pink-headed Warbler,Cardellina versicolor,,Ana Paula Oxom,2021-05-30,2021,5,30,621,Guatemala,GT-QZ,Quetzaltenango,,Volcán Chicabal--Laguna Chicabal,14.7885537,-91.6555882,Adult – 1,,Unspecified,"","",,,,,,,S89303571,"",,,,Conservative count. Seen and heard all along the trails.,Cardellina versicolor,pihwar1,Species,33809,,4.97,553,,3453,5179
40662221,Photo,Great Gray Owl,Strix nebulosa,,Luke Seitz,,,,,,Canada,CA-ON-NP,Ontario,Nipissing,,,,"",,Unspecified,"","",,,,,,,,"",,,,,Strix nebulosa,grgowl,Species,9035,,4.96,731,,2928,4362
325771901,Photo,Evening Grosbeak,Coccothraustes vespertinus,,John Jansen,2021-04-12,2021,4,12,1229,Canada,CA-BC-CO,British Columbia,Central Okanagan,Glenrosa--Gates Rd,49.8322411,-119.6701491,"",,Unspecified,"","",,,,,,,S85411991,"",,,,,Coccothraustes vespertinus,evegro,Species,31563,,4.97,513,,3384,6016
186936111,Photo,Yellow-tufted Honeyeater,Lichenostomus melanops,,JJ Harrison,2019-11-09,2019,11,9,629,Australia,AU-NSW-LIT,New South Wales,Lithgow,Capertee Valley--Genowlan Rd,-33.0577500,150.1320500,"",,Unspecified,"","",,,,,,,S61310213,"",,,,,Lichenostomus melanops,yethon3,Species,17474,,4.96,880,,2928,4392
581235401,Photo,Black Tern,Chlidonias niger,,Jeff Dyck,2023-06-03,2023,6,3,1716,Canada,CA-BC-FF,British Columbia,Fraser-Fort George,Cleswuncut Lake,53.3521257,-123.0993435,"",,Unspecified,"","",,,,,,,S140517452,"",,,,,Chlidonias niger,blkter,Species,6664,,5.00,230,,1600,2400
200538821,Photo,Blue Pitta,Hydrornis cyaneus,,Dorian Anderson,2020-01-03,2020,1,3,700,Thailand,TH-76,Phetchaburi,,"Kaeng Krachan NP--Nui Khumnangpaya's hide (restricted access)",12.7801100,99.5559700,"",,Unspecified,"","",,,,,,,S62944276,"",,,,,Hydrornis cyaneus,blupit1,Species,13119,,4.96,553,,2586,3879
297982601,Photo,Winter Wren,Troglodytes hiemalis,,Brad Imhoff,2021-01-14,2021,1,14,1017,United States,US-OH-089,Ohio,Licking,Dillon Wildlife Area--Toboso Rd. Wetlands,40.0620000,-82.2199990,"",,Unspecified,"","",,,,,,,S79226383,"",,,,,Troglodytes hiemalis,winwre3,Species,26844,,4.98,367,,4136,6204
603046701,Photo,Eastern Whip-poor-will,Antrostomus vociferus,,Megan Gray,2023-07-25,2023,7,25,1615,United States,US-RI-009,Rhode Island,Washington,Kingston Rd and Queen River Area,41.5195767,-71.5779090,"Adult Female – 1; Juvenile – 1","",Unspecified,"","",,,,,,,S147157866,"",,,,"EWPW nest monitored by Liam C and myself for his MsC work, following established nest monitoring protocol, photos taken advantageously during an every other day nest check. Usually both chicks are being fully brooded by the female, instead of being visible.",Antrostomus vociferus,easwpw1,Species,3630,,4.96,706,Nest,2912,4368
511620371,Photo,Dunlin,Calidris alpina,Tringa semipalmata -- Willet,Steven Hunter,2022-12-09,2022,12,9,1235,United States,US-CA-001,California,Alameda,Emeryville Southern Seawall,37.8368326,-122.3098841,Adult – 1,,Unspecified,"","",,,,,,,S123709083,"",,,Stack parking.,,Calidris alpina,dunlin,Species,6156,,4.96,758,,3153,4204
