ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
479615591,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Boris Georgi,2022-08-15,2022,8,15,919,Russia,RU-KDA,Krasnodar Krai,,Озеро Карасун (Lake Karasun),45.0220920,39.0357845,"",Flying,Unspecified,"","",,,,,,,S116960411,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,"",439,585
439279551,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Boris Georgi,2022-04-23,2022,4,23,1231,Russia,RU-UD,Udmurtia,,Окрестности Старого Мартьяново (Staroye Martianovo environs),56.8378736,53.4085385,"",Flying,Unspecified,"","",,,,,,,S107758018,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,"",645,860
437851401,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Mohammed Fatoosh,2022-04-20,2022,4,20,1600,Denmark,DK-84,Region Hovedstaden,,Rosenhaven,55.7326000,12.5809000,"",,Unspecified,"","",,,,,,,S107548865,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,480,720
429916901,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Mohammed Fatoosh,2022-03-29,2022,3,29,1805,Denmark,DK-84,Region Hovedstaden,,"Villa Copenhagen, Tietgensgade 35-39 1704 København",55.6714150,12.5676969,"","",Unspecified,"","",,,,,,,S105842959,"",,,iPhone photos,Ad. (2) sex unknown foraging on tree buds. Elevation: 5.68 m.,Columba palumbus,comwop1,Group,1907,,1.00,1,Habitat,3024,4032
429916891,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Mohammed Fatoosh,2022-03-29,2022,3,29,1805,Denmark,DK-84,Region Hovedstaden,,"Villa Copenhagen, Tietgensgade 35-39 1704 København",55.6714150,12.5676969,"","",Unspecified,"","",,,,,,,S105842959,"",,,iPhone photos,Ad. (2) sex unknown foraging on tree buds. Elevation: 5.68 m.,Columba palumbus,comwop1,Group,1907,,1.00,1,Habitat,3024,4032
429916861,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Mohammed Fatoosh,2022-03-29,2022,3,29,1805,Denmark,DK-84,Region Hovedstaden,,"Villa Copenhagen, Tietgensgade 35-39 1704 København",55.6714150,12.5676969,"","",Unspecified,"","",,,,,,,S105842959,"",,,iPhone photos,Ad. (2) sex unknown foraging on tree buds. Elevation: 5.68 m.,Columba palumbus,comwop1,Group,1907,,1.00,1,Habitat,1118,2113
428760481,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Abdessamad ENNOURY,2022-03-26,2022,3,26,700,Morocco,MA-09,Chaouia-Ouardigha,,BenAhmed Forest Parc | غابة ابن احمد,33.0707574,-7.2323513,"",,Unspecified,"","",,,,,,,S105592538,"",,,,"2 males displaying and singing which suggest 2 pairs at least . The first breeding record was only the last year .",Columba palumbus,comwop1,Group,1907,,1.00,1,,1090,1660
417952211,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,A Emmerson,2021-09-26,2021,9,26,919,United Kingdom,GB-ENG-CHS,England,Cheshire,Little Budworth Country Park,53.1879511,-2.6212522,Adult – 1,,Unspecified,"","",,,,,,,S95286948,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,1458,2040
415442791,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Mathieu Langlois,2017-04-17,2017,4,17,1859,France,FR-PDL-53,Pays de la Loire,Mayenne,"Chémeré-le-Roi, fraternité Saint-Vincent-Ferrier",47.9757492,-0.4415372,Adult – 3,Flying,Unspecified,"","",,,,,,,S37188750,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,"",2506,3759
397228491,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,"Ryan O'Donnell",2021-12-19,2021,12,19,1355,France,FR-BRE-35,Bretagne,Ille-et-Vilaine,Etangs de Dézerseul,48.1206880,-1.5911140,Unknown – 516,Flying,Unspecified,"","",,,,,,,S99111642,"",,,Composite of four photos to show the whole flock.,"125 counted individually in the field, plus one large flyover flock estimated at 600 in the field, then counted from photographs at 516. 125 comptés individuellement sur le terrain, plus un grand troupeau survolé estimé à 600 sur le terrain, puis compté à partir de photographies à 516.",Columba palumbus,comwop1,Group,1907,,1.00,1,"",7142,4000
385838781,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2021-11-06,2021,11,6,1010,Portugal,PT-08-LS,Faro,Lagos,Serra de Espinhaço de Cão--Corte Cardeira,37.1852452,-8.7783551,"",Flying,Unspecified,"","",,,,,,,S97182209,"",,,,"15, contados 1 a 1 mais bando de 163, contado 1 a 1 a partir da foto",Columba palumbus,comwop1,Group,1907,,1.00,1,"",3456,5184
385838771,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2021-11-06,2021,11,6,1010,Portugal,PT-08-LS,Faro,Lagos,Serra de Espinhaço de Cão--Corte Cardeira,37.1852452,-8.7783551,"",Flying,Unspecified,"","",,,,,,,S97182209,"",,,,"15, contados 1 a 1 mais bando de 163, contado 1 a 1 a partir da foto",Columba palumbus,comwop1,Group,1907,,1.00,1,"",3456,5184
385833941,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2021-11-06,2021,11,6,1010,Portugal,PT-08-LS,Faro,Lagos,Serra de Espinhaço de Cão--Corte Cardeira,37.1852452,-8.7783551,"",Flying,Unspecified,"","",,,,,,,S97182209,"",,,At least 163 counted  one by one in the photo,"15, contados 1 a 1 mais bando de 163, contado 1 a 1 a partir da foto",Columba palumbus,comwop1,Group,1907,,1.00,1,"",1655,5184
385823821,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2021-11-05,2021,11,5,930,Portugal,PT-08-LS,Faro,Lagos,Catalão,37.1269372,-8.7486738,"",Flying,Unspecified,"","",,,,,,,S97168811,"",,,flock,"530 contados 1 a 1 na foto, que poderá ter deixado algumas aves de fora. No campo 500 = estimativa rápida de bando em voo: 1 a 1 até 10, 10 a 10 até 50 e 50 a 50 até ao fim do bando.",Columba palumbus,comwop1,Group,1907,,1.00,1,"",1797,4696
385322771,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2021-11-04,2021,11,4,910,Portugal,PT-08-VB,Faro,Vila do Bispo,Pardieiro,37.1281776,-8.8365966,Unknown – 460,Flying,Unspecified,"","",,,,,,,S97102153,"",,,,"460 aves contadas uma a uma a partir da foto. Estimativa no campo, de 10/10 até 50 e de 50/50 até ao fim do bando = 450",Columba palumbus,comwop1,Group,1907,,1.00,1,"",3456,5184
319519391,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Fernandes,2021-03-24,2021,3,24,927,Croatia,HR-21,Grad Zagreb,,Zagreb--Retencija Blato,45.7718467,15.8904563,"",Flying,Unspecified,"","",,,,,,,S84009522,"",,,,"Estimate (10/10). Three flocks seen moving northeast (c.150, c.130 and 49 birds). At least one singing bird.",Columba palumbus,comwop1,Group,1907,,1.00,1,"",900,1600
319519371,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Fernandes,2021-03-24,2021,3,24,927,Croatia,HR-21,Grad Zagreb,,Zagreb--Retencija Blato,45.7718467,15.8904563,"",Flying,Unspecified,"","",,,,,,,S84009522,"",,,,"Estimate (10/10). Three flocks seen moving northeast (c.150, c.130 and 49 birds). At least one singing bird.",Columba palumbus,comwop1,Group,1907,,1.00,1,"",900,1600
315331631,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Peyton Stone,2021-03-10,2021,3,10,804,Tajikistan,TJ-DU,Dushanbe,,Боғи Ботаникии Душанбе [Dushanbe Botanical Garden],38.6037298,68.7803899,"",,Unspecified,"","",,,,,,,S83117800,"",,,,"*Marked rare.* Similar to nearby cinnamon-necked wood-pigeons, except for a large white patch on each side of neck.  Got poor quality cellphone photo.",Columba palumbus,comwop1,Group,1907,,1.00,1,,909,532
315331621,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Peyton Stone,2021-03-10,2021,3,10,804,Tajikistan,TJ-DU,Dushanbe,,Боғи Ботаникии Душанбе [Dushanbe Botanical Garden],38.6037298,68.7803899,"",,Unspecified,"","",,,,,,,S83117800,"",,,,"*Marked rare.* Similar to nearby cinnamon-necked wood-pigeons, except for a large white patch on each side of neck.  Got poor quality cellphone photo.",Columba palumbus,comwop1,Group,1907,,1.00,1,,1026,531
315331611,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Peyton Stone,2021-03-10,2021,3,10,804,Tajikistan,TJ-DU,Dushanbe,,Боғи Ботаникии Душанбе [Dushanbe Botanical Garden],38.6037298,68.7803899,"",,Unspecified,"","",,,,,,,S83117800,"",,,,"*Marked rare.* Similar to nearby cinnamon-necked wood-pigeons, except for a large white patch on each side of neck.  Got poor quality cellphone photo.",Columba palumbus,comwop1,Group,1907,,1.00,1,,990,554
312315581,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Joseph Bouvier,2021-02-28,2021,2,28,1330,Spain,ES-AN-AM,Andalucía,Almería,Río Andarax--Fondón,36.9871850,-2.8455910,"",,Unspecified,"","",,,,,,,S82505884,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,2448,3264
303887251,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Peyton Stone,2021-02-02,2021,2,2,830,Tajikistan,TJ-DU,Dushanbe,,Боғи Ботаникии Душанбе [Dushanbe Botanical Garden],38.6037298,68.7803899,"",,Unspecified,"","",,,,,,,S80354608,"",,,,"*Marked rare.* Similar to nearby cinnamon-necked wood-pigeons, except for a large white patch on each side of neck.",Columba palumbus,comwop1,Group,1907,,1.00,1,,969,878
293534181,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Fernandes,2020-12-31,2020,12,31,1356,Croatia,HR-21,Grad Zagreb,,Stara Peščenica,45.8085690,16.0055850,"",Flying,Unspecified,"","",,,,,,,S78303797,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,"",900,1600
283939051,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2020-10-31,2020,10,31,926,Portugal,PT-08-VB,Faro,Vila do Bispo,Pardieiro,37.1281776,-8.8365966,"",Flying,Unspecified,"","",,,,,,,S75645597,"",,,,contados 1 a 1 na foto,Columba palumbus,comwop1,Group,1907,,1.00,1,"",3456,5184
283938991,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Cardia,2020-10-31,2020,10,31,926,Portugal,PT-08-VB,Faro,Vila do Bispo,Pardieiro,37.1281776,-8.8365966,"",Flying,Unspecified,"","",,,,,,,S75645597,"",,,,contados 1 a 1 na foto,Columba palumbus,comwop1,Group,1907,,1.00,1,"",1457,5183
269219861,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pedro Fernandes,2020-10-08,2020,10,8,855,Croatia,HR-21,Grad Zagreb,,Zagreb--Retencija Blato,45.7718467,15.8904563,"",Flying,Unspecified,"","",,,,,,,S74563239,"",,,Part of the flock showing 288 birds.,"Rough estimate of a huge flock heading south, a smaller flock of c.60 birds and scattered birds or small flocks. Main flock counted as 1000 birds— picture showing 288 birds was roughly 1/3 of the flock. Flying high, looked like a hazy cloud heading south.",Columba palumbus,comwop1,Group,1907,,1.00,1,"",900,1600
224736671,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Vivek Menon,2017-01-28,2017,1,28,1200,Switzerland,CH-VD,Vaud,,Champ Pittet,46.7850307,6.6650748,"",,Unspecified,"","",,,,,,,S34064129,"",,,,common,Columba palumbus,comwop1,Group,1907,,1.00,1,,1473,2365
193697651,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,A Emmerson,2019-08-31,2019,8,31,1252,United Kingdom,GB-ENG-DBY,England,Derbyshire,Buxton Park and Pavilion Gardens,53.2567332,-1.9182334,Juvenile – 1,,Unspecified,"","",,,,,,,S59394311,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,1817,2700
184865321,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Alexander Lees,2019-10-29,2019,10,29,717,United Kingdom,GB-ENG-DBY,England,Derbyshire,Hadfield Rough Fields,53.4651479,-1.9626313,"",Flying,Unspecified,"","",,,,,,,S61014854,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,"",1884,3216
172595251,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Butch Carter,2017-05-15,2017,5,15,930,France,FR-IDF-75C,Île-de-France,Paris,Champ de Mars,48.8560893,2.2979128,"",,Unspecified,"","",,,,,,,S59006055,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,3039,2755
164896991,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Gregory Bryan,2019-03-24,2019,3,24,1115,United Kingdom,GB-ENG-HAM,England,Hampshire,Watership Down,51.3092086,-1.2851858,"",,Unspecified,"","",,,,,,,S57513468,"",,,,"First seen 11:15am. White necks. Plump, rounded pigeons.",Columba palumbus,comwop1,Group,1907,,1.00,1,,2034,2092
144465611,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Sean Walsh,2019-03-09,2019,3,9,847,Ireland,IE-C-GY,Connaught,Galway,Lough Atalia,53.2759614,-9.0371346,Adult,,Unspecified,"","",,,,,,,S53629089,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,2848,4272
144465591,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Sean Walsh,2019-03-09,2019,3,9,847,Ireland,IE-C-GY,Connaught,Galway,Lough Atalia,53.2759614,-9.0371346,Adult,,Unspecified,"","",,,,,,,S53629089,"",,,,,Columba palumbus,comwop1,Group,1907,,1.00,1,,2848,4272
