ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
438278501,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438142491,Photo,Great Tit (Great),Parus major [major Group],,Stephen Taylor,2022-04-15,2022,4,15,1700,United Kingdom,GB-ENG-CMA,England,Cumbria,"Loftus Manor, Sedbergh",54.3196740,-2.5253420,"",,Unspecified,"","",,,,,,,S107155452,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,2437,3249
438142481,Photo,Great Tit (Great),Parus major [major Group],,Stephen Taylor,2022-04-15,2022,4,15,1700,United Kingdom,GB-ENG-CMA,England,Cumbria,"Loftus Manor, Sedbergh",54.3196740,-2.5253420,"",,Unspecified,"","",,,,,,,S107155452,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1905,2540
438142471,Photo,Great Tit (Great),Parus major [major Group],,Stephen Taylor,2022-04-15,2022,4,15,1700,United Kingdom,GB-ENG-CMA,England,Cumbria,"Loftus Manor, Sedbergh",54.3196740,-2.5253420,"",,Unspecified,"","",,,,,,,S107155452,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,2437,3249
437984091,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,738,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Oxford University Parks,51.7611999,-1.2523556,"",,Unspecified,"","",,,,,,,S107444175,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
437176391,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-18,2022,4,18,827,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107361818,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
437176331,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-18,2022,4,18,827,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107361818,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
437176321,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-18,2022,4,18,827,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107361818,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
437114491,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-17,2022,4,17,1347,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107281087,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
437114481,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-17,2022,4,17,1347,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107281087,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
436746621,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-17,2022,4,17,936,United Kingdom,GB-ENG-OXF,England,Oxfordshire,New College,51.7537640,-1.2501450,"",,Unspecified,"","",,,,,,,S107261544,"",,,,Lifer!,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
435805531,Photo,Great Tit (Great),Parus major [major Group],,Alain Rouge,2022-03-27,2022,3,27,0,Greece,GR-M-74,Crete,Chania,Kolymvari,35.5455879,23.7787898,"",,Unspecified,"","",,,,,,,S105717549,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1003,1515
431941991,Photo,Great Tit (Great),Parus major [major Group],,Mark Maddock,2022-04-03,2022,4,3,1052,Finland,FI-11,Pirkanmaa,,"Rantaperkiö Woods, Tampere, Pirkanmaa, Finland.",61.4740000,23.7530000,"",,Unspecified,"","",,,,,,,S106152693,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1800,2699
431941981,Photo,Great Tit (Great),Parus major [major Group],,Mark Maddock,2022-04-03,2022,4,3,1052,Finland,FI-11,Pirkanmaa,,"Rantaperkiö Woods, Tampere, Pirkanmaa, Finland.",61.4740000,23.7530000,"",,Unspecified,"","",,,,,,,S106152693,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1800,2700
431941971,Photo,Great Tit (Great),Parus major [major Group],,Mark Maddock,2022-04-03,2022,4,3,1052,Finland,FI-11,Pirkanmaa,,"Rantaperkiö Woods, Tampere, Pirkanmaa, Finland.",61.4740000,23.7530000,"",,Unspecified,"","",,,,,,,S106152693,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1800,2699
431930821,Photo,Great Tit (Great),Parus major [major Group],,Mark Maddock,2022-04-03,2022,4,3,1018,Finland,FI-11,Pirkanmaa,,"Tampere--Härmälä, Vähäjärvi",61.4660000,23.7380000,"",,Unspecified,"","",,,,,,,S106150461,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1800,2701
430459081,Photo,Great Tit (Great),Parus major [major Group],,Christian Hagenlocher,2010-06-19,2010,6,19,600,Mongolia,MN-1,Ulaanbaatar,,"Sukhbaatar square, Ulaanbaatar",47.9182116,106.9177759,"",,Unspecified,"","",,,,,,,S10294546,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,270,360
428812891,Photo,Great Tit (Great),Parus major [major Group],,Uku Paal,2015-10-25,2015,10,25,0,Estonia,EE-65,Põlvamaa,,Mehikoorma Lighthouse,58.2333613,27.4763548,"",,Unspecified,"","",,,,,,,S105617190,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1280,2048
428807801,Photo,Great Tit (Great),Parus major [major Group],,Uku Paal,2015-12-31,2015,12,31,0,Estonia,EE-74,Saaremaa,,Sörve Bird Observatory,57.9183200,22.0572310,"",,Unspecified,"","",,,,,,,S105616251,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1280,2048
427353691,Photo,Great Tit (Great),Parus major [major Group],,Haley Olsen-Hodges,2022-03-21,2022,3,21,1444,Armenia,AM-ER,Erevan,,Yerevan Botanical Garden (Երևանի բուսաբանական այգի),40.2119879,44.5561588,"",,Unspecified,"","",,,,,,,S105305325,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,,
427080461,Photo,Great Tit (Great),Parus major [major Group],,Wouter Van Gasse,2022-03-20,2022,3,20,957,Belgium,BE-VLG,Vlaamse Gewest,,Bazel - My garden,51.1520589,4.3058976,Adult – 1,,Unspecified,"","",,,,,,,S105253818,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,2625,4200
424844611,Photo,Great Tit (Great),Parus major [major Group],,Simon Feys,2017-10-06,2017,10,6,0,Belgium,BE-VLG,Vlaamse Gewest,,"Simon's Yard, Maarkedal, Vlaanderen, BE",50.7803764,3.6206459,"",,Unspecified,"","",,,,,,,S104760538,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,533,800
422681041,Photo,Great Tit (Great),Parus major [major Group],,Joren van Schie,2022-03-06,2022,3,6,1520,Netherlands,NL-FR,Fryslân,,Oranjewoud--De Overtuin,52.9496160,5.9673877,"",,Unspecified,"","",,,,,,,S104291217,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,2196,2928
422676041,Photo,Great Tit (Great),Parus major [major Group],,Joren van Schie,2022-03-06,2022,3,6,1356,Netherlands,NL-FR,Fryslân,,Oosterschar,52.9147680,5.8734266,"",,Unspecified,"","",,,,,,,S104283391,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1686,2530
421065651,Photo,Great Tit (Great),Parus major [major Group],,Isak Salen,2022-02-28,2022,2,28,1337,Norway,NO-05,Oppland,,Noen Sjeldne Plasser I Musdalen,61.2974989,10.2669634,Adult Male – 1,,Unspecified,"","",,,,,,,S103897501,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,4000,6000
420366381,Photo,Great Tit (Great),Parus major [major Group],,Kudaibergen Amirekul,2022-02-22,2022,2,22,1030,Kazakhstan,KZ-ALA,Almaty,,Кім Асар шатқалы [Kim Asar Gorge],43.1645210,77.0750714,"",,Unspecified,"","",,,,,,,S103807754,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1475,2210
420044131,Photo,Great Tit (Great),Parus major [major Group],,Isak Salen,2022-02-26,2022,2,26,1308,Norway,NO-05,Oppland,,Elva ved strandtorget,61.1163510,10.4480326,"",,Unspecified,"","",,,,,,,S103744712,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,1433,2160
415761011,Photo,Great Tit (Great),Parus major [major Group],,NM Gatward,2022-02-13,2022,2,13,1036,Spain,ES-AN-AM,Andalucía,Almería,Río Almanzora La Cinta al oeste,37.3430570,-2.1065820,"",,Unspecified,"","",,,,,,,S102564324,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,712,868
415761001,Photo,Great Tit (Great),Parus major [major Group],,NM Gatward,2022-02-13,2022,2,13,1036,Spain,ES-AN-AM,Andalucía,Almería,Río Almanzora La Cinta al oeste,37.3430570,-2.1065820,"",,Unspecified,"","",,,,,,,S102564324,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,560,625
