ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
611220266,Photo,Eurasian Blackbird,Turdus merula,Acridotheres tristis -- Common Myna,Caiden B,2023-11-14,2023,11,14,1804,New Zealand,NZ-WKO-013,Waikato,Waikato District,"21 Matangi Road, Tamahere, Waikato, NZ (-37.798, 175.335)",-37.7975227,175.3345227,"","Carrying Food; Foraging or Eating",Unspecified,"","",,,,,,,S154422141,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,"",1250,2048
502195831,Photo,Eurasian Blackbird,Turdus merula,,Noam Markus,2022-11-10,2022,11,10,905,New Zealand,NZ-WGN-047,Wellington,Wellington City,Wellington--Botanic Gardens,-41.2829034,174.7667989,"",,Unspecified,"","",,,,,,,S122149960,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,2660,3962
296278341,Photo,Eurasian Blackbird,Turdus merula,,Jill Duncan &  Ken Bissett,2017-11-20,2017,11,20,750,New Zealand,NZ-BOP-022,Bay of Plenty,Western Bay of Plenty District,Katikati Bird Gardens,-37.5835492,175.9433627,"",,Unspecified,"","",,,,,,,S40601617,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,1200,1800
289680011,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2020-12-21,2020,12,21,1144,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Juvenile – 1,Foraging or Eating,Unspecified,"","",,,,,,,S77762690,"",,,Eating fallen plums,,Turdus merula,eurbla,Species,27987,,5.00,3,"",3207,4800
247576161,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2020-07-05,2020,7,5,912,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Adult Male – 1,,Unspecified,"","",,,,,,,S71135819,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,1869,2493
219955171,Photo,Eurasian Blackbird,Turdus merula,,Oscar Thomas,2020-04-02,2020,4,2,852,New Zealand,NZ-OTA-071,Otago,Dunedin City,Dunedin Botanic Gardens,-45.8583362,170.5216742,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S66505432,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,Habitat,2494,3741
213305511,Photo,Eurasian Blackbird,Turdus merula,,Richard Simmonds,2020-03-04,2020,3,4,1435,New Zealand,NZ-CAN-060,Canterbury,Christchurch City,Christchurch--Botanic Gardens,-43.5296646,172.6198483,"",,Unspecified,"","",,,,,,,S65414756,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,2819,4219
89106201,Photo,Eurasian Blackbird,Turdus merula,,Hayley Alexander,2018-03-06,2018,3,6,1836,New Zealand,NZ-BOP-023,Bay of Plenty,Tauranga City,"2 Thirteenth Avenue, Tauranga South NZ-Bay of Plenty (-37.7072,176.1664)",-37.7071660,176.1664450,"",,Unspecified,"","",,,,,,,S43445458,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,2469,3703
89106191,Photo,Eurasian Blackbird,Turdus merula,,Hayley Alexander,2018-03-06,2018,3,6,1836,New Zealand,NZ-BOP-023,Bay of Plenty,Tauranga City,"2 Thirteenth Avenue, Tauranga South NZ-Bay of Plenty (-37.7072,176.1664)",-37.7071660,176.1664450,"",,Unspecified,"","",,,,,,,S43445458,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,2269,3403
89106181,Photo,Eurasian Blackbird,Turdus merula,,Hayley Alexander,2018-03-06,2018,3,6,1836,New Zealand,NZ-BOP-023,Bay of Plenty,Tauranga City,"2 Thirteenth Avenue, Tauranga South NZ-Bay of Plenty (-37.7072,176.1664)",-37.7071660,176.1664450,"",,Unspecified,"","",,,,,,,S43445458,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,,2818,4227
293127271,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,4.50,4,Habitat,3456,5184
612322657,Photo,Eurasian Blackbird,Turdus merula,,Alfie Benbow,2023-12-09,2023,12,9,1142,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Te Mara a Tane Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S155979930,"",,,,,Turdus merula,eurbla,Species,27987,,4.67,3,,1551,2048
390014141,Photo,Eurasian Blackbird,Turdus merula,,Imogen Warren,2021-11-21,2021,11,21,926,New Zealand,NZ-WGN-043,Wellington,Kapiti Coast District,South bank Waikanae Scientific Reserve,-40.8782171,175.0004910,"",,Unspecified,"","",,,,,,,S97836712,"",,,,,Turdus merula,eurbla,Species,27987,,4.67,3,,614,920
